Soil Moisture,Temperature,Soil Humidity,Status
25,36,64.0,0
5,20,35.0,0
27,41,70.0,0
90,20,35.0,1
81,41,26.0,0
54,37,25.0,0
46,36,21.0,0
1,9,59.0,1
81,25,41.0,0
85,41,29.0,1
40,43,68.0,0
75,12,39.0,0
41,4,53.0,1
26,32,47.0,0
29,24,61.0,1
7,9,49.0,1
4,43,40.0,0
8,8,48.0,1
34,32,50.0,0
33,1,59.0,1
17,9,48.0,1
32,19,40.0,0
20,7,63.0,0
86,17,67.0,1
54,9,40.0,0
42,7,44.0,0
63,40,52.0,0
40,41,21.0,1
72,38,38.0,0
23,18,63.0,1
62,11,57.0,1
23,38,50.0,0
69,15,44.0,0
29,38,37.0,0
45,27,53.0,0
19,8,65.0,0
69,27,54.0,1
73,6,61.0,1
52,5,65.0,0
43,12,38.0,0
37,44,47.0,1
22,11,56.0,0
52,34,58.0,0
5,36,32.0,0
24,20,70.0,0
26,43,43.0,0
34,44,38.0,0
10,22,47.0,0
20,16,29.0,0
41,19,31.0,0
80,19,50.0,1
17,22,27.0,0
15,9,37.0,0
71,45,67.0,1
35,17,35.0,0
33,41,26.0,0
40,36,62.0,0
77,23,40.0,1
62,7,39.0,0
42,14,48.0,0
48,34,44.0,1
89,17,43.0,0
6,4,52.0,0
67,35,62.0,0
25,34,49.0,0
84,3,35.0,1
4,22,31.0,1
39,16,58.0,1
46,1,67.0,1
21,16,68.0,1
85,11,32.0,1
12,15,60.0,0
32,22,33.0,1
67,14,30.0,1
76,28,57.0,1
21,9,30.0,1
23,10,43.0,1
66,17,64.0,0
28,8,63.0,1
84,33,54.0,1
73,8,63.0,1
43,3,28.0,1
83,2,21.0,1
20,3,69.0,1
79,44,40.0,1
72,37,56.0,1
24,42,61.0,0
66,12,38.0,0
82,23,30.0,1
83,2,54.0,1
56,33,39.0,0
11,43,56.0,0
69,45,53.0,0
79,15,59.0,1
42,29,68.0,1
28,38,21.0,0
87,30,62.0,1
70,32,36.0,1
12,34,28.0,0
61,4,21.0,1
42,15,37.0,0
89,28,44.0,0
35,0,58.0,1
10,20,42.0,0
14,2,53.0,0
70,33,46.0,1
4,19,51.0,0
20,17,33.0,0
46,4,58.0,1
24,3,21.0,1
42,4,55.0,1
39,27,51.0,0
41,25,38.0,0
55,38,40.0,1
62,14,33.0,0
1,45,32.0,0
11,8,21.0,1
87,23,45.0,0
15,2,52.0,1
24,4,67.0,0
72,13,38.0,1
